date,global_duration,training_duration,n_epochs,model_id,n_parameters,opts,stopped
22/11/2021 15:18:01,2040.9,1991.61,50,DLBDL_pat5_delta0,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",21
22/11/2021 15:45:10,1628.44,1601.39,50,DLBDL_pat5_delta0.001,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.001}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",17
22/11/2021 16:21:42,2192.05,2164.7,50,DLBDL_pat5_delta0.002,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.002}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",23
22/11/2021 17:07:58,2776.19,2748.07,50,DLBDL_pat8_delta0,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 8, 'min_delta': 0}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",29
22/11/2021 17:31:16,1397.74,1369.75,50,DLBDL_pat8_delta0.001,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 8, 'min_delta': 0.001}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",14
22/11/2021 18:11:50,2433.83,2406.13,50,DLBDL_pat8_delta0.002,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 8, 'min_delta': 0.002}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",25
22/11/2021 18:58:19,2788.44,2742.29,50,DLBDL_pat10_delta0,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 10, 'min_delta': 0}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",27
22/11/2021 19:38:24,2404.77,2376.53,50,DLBDL_pat10_delta0.001,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 10, 'min_delta': 0.001}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",25
22/11/2021 20:29:01,3036.79,3008.51,50,DLBDL_pat10_delta0.002,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_delta{early_stopping--min_delta}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 10, 'min_delta': 0.002}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD'}",32
22/11/2021 20:58:21,1759.93,1731.34,50,DLBDL_dl1-1-2,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_dl{dilation_rate}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.002}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD', 'dilation_rate': [1, [1, 2]]}",16
22/11/2021 21:19:41,1279.8,1250.9,50,DLBDL_dl1-2-1,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_dl{dilation_rate}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.002}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD', 'dilation_rate': [[1, 2], 1]}",12
22/11/2021 22:08:31,2929.24,2900.54,50,DLBDL_dl1-2-1-2,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_dl{dilation_rate}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.002}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL', 'class': 'dlbd.models.dlbd.DLBD', 'dilation_rate': [[1, 2], [1, 2]]}",26
22/11/2021 22:31:18,1367.12,1338.81,50,DLBDL_original_lr-0.01_epochs-50,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_{learning_rate}_{n_epochs}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.002}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL_original', 'class': 'dlbd.models.dlbd.DLBD'}",14
23/11/2021 14:29:17,1593.96,1565.64,50,DLBDL_dl1-2_1_pat5_delta0_lr-0.01_epochs-50,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_{learning_rate}_{n_epochs}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL_dl1-2_1_pat5_delta0', 'class': 'dlbd.models.dlbd.DLBD', 'dilation_rate': [[1, 2], 1]}",15
23/11/2021 15:34:42,2195.28,2167.05,50,DLBDL_dl1-2_1_pat5_restoreTrue,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_restore{early_stopping--restore_best_weights}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.001, 'restore_best_weights': True}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL_dl1-2_1', 'class': 'dlbd.models.dlbd.DLBD', 'dilation_rate': [[1, 2], 1]}",21
23/11/2021 16:17:49,2586.49,2559.47,50,DLBDL_dl1-2_1_pat5_restoreFalse,"{'trainableParams': 126082, 'nonTrainableParams': 640, 'totalParams': 126722}","{'data_config': 'config/gpu/runs/trim/data_config.yaml', 'id': '_pat{early_stopping--patience}_restore{early_stopping--restore_best_weights}', 'id_prefixes': {'databases_options--spectrogram--n_mels': '_nmels-', 'databases_options--spectrogram--n_fft': 'fft-', 'learning_rate': 'lr-', 'n_epochs': 'epochs-'}, 'databases': ['citynet2', 'nips4b2', 'NABS2', 'arctic_complete2'], 'model_dir': '/home/sylvain/data/results/runs/candidates/models', 'logs': {'log_dir': '/home/sylvain/logs/gradient_tape/runs/candidates', 'use_version': True}, 'clean_empty_models': True, 'n_epochs': 50, 'epoch_save_step': 3, 'learning_rate': 0.01, 'learn_log': 0, 'do_augmentation': 1, 'A': 0.001, 'B': 10.0, 'ensemble_members': 1, 'training_balanced': True, 'resize_spectrogram': True, 'pixels_per_sec': 200, 'spectrogram_overlap': 0.75, 'batch_size': 256, 'do_batch_norm': 1, 'channels': 4, 'num_filters': 64, 'num_dense_units': 128, 'conv_filter_width': 4, 'wiggle_room': 10, 'dropout': 0.5, 'databases_options': {'spectrogram': {'n_fft': 512, 'n_mels': 32, 'sample_rate': 'original', 'to_db': False}}, 'parent_path': 'config/gpu/runs/training_parent.yaml', 'skip_trained': True, 'early_stopping': {'patience': 5, 'min_delta': 0.001, 'restore_best_weights': False}, 'random_start': True, 'num_dense_units2': 0, 'time_mask': True, 'freq_mask': True, 'name': 'DLBDL_dl1-2_1', 'class': 'dlbd.models.dlbd.DLBD', 'dilation_rate': [[1, 2], 1]}",25
